KY,Kentucky,68412,71679,77531,81618,87646,91915,96617,103621,109859,115931,115126,118975,123928,128804,135994,144174,152394,155486,158732,156113,165787,172255,178210,182696,188518
LA,Louisiana,95177,96043,90890,95866,105119,112876,118807,126003,121548,127230,134251,140264,141797,157562,172623,200436,207944,209676,218351,209507,231372,236958,243308,238308,245791
ME,Maine,23256,23379,24329,25202,26543,28153,29256,30775,32177,34350,36684,38317,40050,41858,44617,46052,48175,49269,49858,50222,51304,51481,52606,53300,55029
MD,Maryland,112835,115428,119535,125515,133311,139070,145023,154783,171402,181987,192934,206296,218525,229840,247461,264729,278216,290139,297792,303265,314471,323942,331424,337422,350262
MA,Massachusetts,159505,160728,167435,173527,185710,196409,210630,226880,249401,264906,289554,296348,302972,315339,329640,344145,359256,377987,384218,382747,399270,413673,432256,438641,456273
MI,Michigan,193103,197717,212057,226368,251484,256615,270320,286408,315171,338889,351996,351014,365288,377462,383545,396268,397295,402390,386445,366401,387167,401360,417328,431112,447221
MN,Minnesota,102757,106102,114518,117947,128167,135124,145880,156650,167915,176966,192948,198343,206098,218061,231904,244800,251221,259493,265341,259460,271481,284491,294729,307216,320381
MS,Mississippi,38757,40862,44012,47340,51602,54984,57460,59875,61220,64142,66171,67662,69443,73982,78169,82274,87302,91919,94805,92182,94954,96840,102083,103270,104938
MO,Missouri,103566,109162,115288,118906,130567,140060,148257,158308,169799,177924,187707,191750,196807,205338,215895,225268,234124,241909,248838,249574,255631,256996,265178,274540,283280
MT,Montana,13242,13875,14937,16054,17062,17519,18119,18932,20208,20834,21884,23063,23941,25788,27979,30425,32635,35676,36852,35605,37801,40842,42138,43223,44672
NE,Nebraska,33734,35613,38214,39353,43504,45111,49007,50308,52548,54427,57551,60217,62305,67656,71322,74415,78581,82918,85574,86694,91498,99050,102163,107188,110663
NV,Nevada,30980,32786,36052,40039,45173,49249,54419,59467,63934,70376,75777,80134,84643,90419,103446,116764,125387,131137,128899,119482,119771,122744,125205,126935,134052
NH,New Hampshire,23768,24763,26332,27362,29190,31876,34561,36935,40169,41229,44135,45163,47510,50276,53148,56123,58492,59958,60164,60681,62679,64098,66013,67307,70345
NJ,New Jersey,214357,221915,230774,240389,251573,263468,278191,292671,320905,336975,360703,373205,388030,404905,423953,444973,466524,481936,493733,484185,492990,497571,518423,530091,545374
NM,New Mexico,26600,30295,32638,36876,41685,42146,44532,48683,50519,53210,55597,56889,58845,63576,70121,74063,77536,80443,86209,82691,86195,89543,90535,91344,94792
NY,New York,493192,497336,519704,537504,555322,582656,620153,664679,739583,785301,824386,864377,879623,898559,954249,1024329,1083194,1120861,1109994,1143925,1208079,1231936,1299814,1335063,1385776
NC,North Carolina,139658,146367,159337,168006,181288,193467,203815,221259,244146,263633,276963,291540,301781,313917,332598,357711,386354,395708,412889,408913,417375,428731,439332,454450,474355
ND,North Dakota,11509,11691,12896,13049,14304,14842,16491,16501,16858,17042,17991,19002,20322,22295,23396,24709,26491,28670,32263,32364,36033,42123,52197,54441,58230
OH,Ohio,227413,233975,250650,259612,281925,297538,311120,332476,360273,374613,391503,396626,411997,426295,450842,468197,482227,494917,493813,477902,494736,521870,544552,558969,588827
OK,Oklahoma,57805,59632,62209,65552,68251,70859,76316,81106,81533,85368,92083,97682,99532,106105,114160,125106,136804,144171,155015,143380,151318,165278,173911,182447,190171
OR,Oregon,56566,59441,63392,69409,75393,81554,93306,100363,105525,107980,118086,117362,121998,128009,142516,147583,163033,170522,180251,181222,191393,200267,196982,197733,203328
PA,Pennsylvania,245281,255163,269849,281704,296602,312989,325001,342662,372396,389766,409473,428099,440514,458434,481879,505091,529969,553105,566147,567764,588276,607403,626316,645382,672413
RI,Rhode Island,21664,21738,22665,23566,24354,25550,26454,28717,30529,32194,34405,36117,38231,40672,43513,45250,47659,47948,47447,47800,49329,49931,51492,52809,55098
SC,South Carolina,65157,68000,71848,76158,82062,87248,90755,96465,104676,111539,116812,121361,126044,132485,136875,144754,152802,160949,162676,161045,165237,171153,175434,180856,189656
SD,South Dakota,12770,13736,14886,16105,17330,18054,19419,19765,20445,21488,23267,24399,27334,28733,30789,31552,32455,34969,37014,36504,38044,42453,43258,44909,45600
TN,Tennessee,94087,101208,111660,119568,129895,137061,143163,152687,167243,176549,182844,188482,197724,206546,220543,228730,239425,243405,250558,247321,254343,264958,280843,289266,300016
TX,Texas,378943,393574,416401,443775,475990,507725,551513,606982,653512,691405,752007,787653,801155,844435,922770,999641,1094064,1181302,1243756,1171474,1251494,1351048,1440819,1527158,1601977
UT,Utah,31249,33501,35602,38631,42591,46746,52016,55212,61503,65525,70550,74191,76711,80130,86495,94876,106308,116019,116615,114525,119037,125497,129012,134922,140565
VT,Vermont,11674,11733,12538,13027,13689,13891,14672,15521,16119,17141,18265,19172,20073,21232,22538,23483,24251,24759,25303,25222,26406,27565,28146,28611,29662
VA,Virginia,144971,151093,158990,167688,177057,186236,197756,210361,233908,251671,269194,284595,292387,309648,330412,358730,378445,391842,399479,409823,423506,431961,444528,451877,462243
WA,Washington,118640,125895,134469,142500,150805,155069,166540,179639,211448,230725,239942,240894,249942,260027,271676,296731,315723,343339,352922,351316,362114,372287,390154,402789,422767
WV,West Virginia,27754,29092,30410,31881,34592,36149,37224,38570,39793,41720,42497,43700,45086,46471,49409,53331,56748,58564,62175,63485,66961,70891,70915,72763,74433
WI,Wisconsin,100236,104774,112972,120024,129437,135311,143444,151035,164337,173789,181874,188164,195546,204649,216716,226963,236444,243982,245197,245815,253801,263635,273880,281549,293341
WY,Wyoming,12705,12977,13179,13791,14070,14608,15752,16084,14909,15721,17324,18809,19268,21251,23705,27748,33049,36763,43285,37214,39093,41578,39909,40457,40876
